"","Data","Municipio","Campanha","Modulo","Transecto","Parcela","Ponto","Tipo_de_Parcela","Coordenadas_UTM_.X.","Coordenadas_UTM_.Y.","Ordem","Familia","Subfamilia","Especie","Tipo_Amostragem","Num._Ind._.Colonias.Encontros.","Num._ID_.campo.","Instituicao_para_Tombamento","Tombo","OBS"
"89","4/6/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",4,"JI","T2","P1",0,"Terrestre",8970098,3111182,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"1Aa","MZUSP","","#Parte interna de tronco podre."
"90","4/6/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",4,"JI","T2","P1",0,"Terrestre",8970098,3111182,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"3Ca","MZUSP","","#Talo de folha de palmeira morta e no folhiço logo embaixo, Ambos sobre uma pedra grande."
"91","10/1/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",2,"JI","T2","P2",500,"Terrestre",8970473,310831,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"1Ba","MZUSP","","#Dentro de graveto"
"92","4/6/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",4,"JI","T2","P2",500,"Terrestre",8970473,310831,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"3Ca","MZUSP","","#Interior de galho. Duplicata"
"93","9/1/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",2,"JI","T2","P4",2000,"Terrestre",8971554,309787,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"1Aa","MZUSP","","#No solo e Heterotermes dentro de um gravetinho enterrado no solo"
"94","9/1/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",2,"JI","T2","P4",2000,"Terrestre",8971554,309787,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"3Aa","MZUSP","","#Em trondo caído"
"95","17/09/10","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",1,"JI","T1","P4*",2000,"Terrestre",8970588,309301,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"1Bd","MZUSP","","#Ninho na base de árvore com micronasuto e Spinitermes e outro ninho um pouco mais afastado com Apico"
"96","9/1/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",2,"JI","T2","P6",4000,"Terrestre",8972955,308380,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"1Ca","MZUSP","","#Forrageando no solo"
"97","9/1/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",2,"JI","T2","P6",4000,"Terrestre",8972955,308380,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"3Aa","MZUSP","","#Dentro de gravetinho"
"98","3/6/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",4,"JI","T2","P6",4000,"Terrestre",8972955,308380,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"4Ac","MZUSP","","#Talo de coqueiro."
"99","17/09/10","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",1,"JI","T1","P6*",4000,"Terrestre",8972012,307873,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"1Ag","MZUSP","","#Dentro de tronco caído"
"100","7/3/2012","""Três Praias, Jaci Paraná, Porto Velho, RO""",7,"JP","T2","P2",500,"Terrestre",8954804,347396,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"1Aa","MZUSP","","#Interior de graveto"
"101","6/6/2012","""Três Praias, Jaci Paraná, Porto Velho, RO""",8,"JP","T2","P2",500,"Terrestre",8954804,347396,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"1Aa","MZUSP","","#Interior de graveto"
